[Blitzen] Log Data
Compile Date:Oct 24 2022 Time:18:58:31

LineNo,Pattern,SPEED,ハンドル,左後モータ,右後モータ,左前モータ,右前モータ,psd,sensor,centor,距離,トータル距離
0000,011,00000,004,0100,0100,0100,0100,00009,00000,00001,00000,00000
0001,011,00000,004,0100,0100,0100,0100,00009,00000,00001,00000,00000
0002,011,00091,005,0100,0100,0100,0100,00009,00000,00001,00001,00000
0003,011,00182,004,0100,0100,0100,0100,00010,00000,00001,00003,00000
0004,011,00000,003,0100,0100,0100,0100,00014,00000,00001,00003,00000
0005,011,00364,003,0100,0100,0100,0100,00010,00000,00001,00007,00000
0006,011,00546,002,0100,0100,0100,0100,00009,00000,00001,00013,00000
0007,011,00637,003,0100,0100,0100,0100,00009,00000,00001,00020,00000
0008,011,00728,003,0100,0100,0100,0100,00009,00000,00001,00028,00000
0009,011,00819,003,0100,0100,0100,0100,00010,00000,00001,00037,00000
0010,011,00910,004,0100,0100,0100,0100,00009,00000,00001,00047,00000
0011,011,00910,003,0100,0100,0100,0100,00009,00000,00001,00057,00000
0012,011,00819,003,0100,0100,0100,0100,00009,00000,00001,00066,00000
0013,011,00637,003,0100,0100,0100,0100,00010,00000,00001,00073,00000
0014,011,01274,002,0100,0100,0100,0100,00009,00000,00001,00087,00000
0015,011,01274,002,0100,0100,0100,0100,00010,00000,00001,00101,00000
0016,011,01456,003,0100,0100,0100,0100,00009,00000,00001,00117,00000
0017,011,01274,003,0100,0100,0100,0100,00010,00000,00001,00131,00000
0018,011,01001,003,0100,0100,0100,0100,00014,00000,00001,00142,00000
0019,011,01638,003,0100,0100,0100,0100,00016,00000,00001,00160,00000
0020,011,01729,004,0100,0100,0100,0100,00020,00000,00001,00179,00000
0021,011,01638,003,0100,0100,0100,0100,00015,00000,00001,00197,00000
0022,011,01274,003,0100,0100,0100,0100,00015,00000,00001,00211,00000
0023,011,01820,004,0100,0100,0100,0100,00011,00000,00001,00231,00000
0024,011,01456,004,0100,0100,0100,0100,00010,00000,00001,00247,00000
0025,011,01638,004,0100,0100,0100,0100,00010,00000,00001,00265,00000
0026,011,01456,004,0100,0100,0100,0100,00011,00000,00001,00281,00000
0027,011,02002,004,0100,0100,0100,0100,00029,00000,00001,00303,00000
0028,011,02275,004,0100,0100,0100,0100,00028,00000,00001,00328,00000
0029,011,01638,004,0100,0100,0100,0100,00028,00000,00001,00346,00000
0030,011,02366,004,0100,0100,0100,0100,00028,00000,00001,00372,00000
0031,011,02275,005,0100,0100,0100,0100,00063,00000,00001,00397,00000
0032,011,01911,004,0100,0100,0100,0100,00062,00000,00001,00418,00000
0033,011,02457,004,0100,0100,0100,0100,00063,00000,00001,00445,00000
0034,011,02457,003,0100,0100,0100,0100,00068,00000,00001,00472,00000
0035,011,02093,003,0100,0100,0100,0100,00046,00000,00001,00495,00000
0036,011,02821,004,-100,-100,-100,-100,00046,00000,00001,00526,00000
0037,011,02093,004,0100,0100,0100,0100,00046,00000,00001,00549,00000
0038,011,02548,002,0100,0100,0100,0100,00045,00000,00001,00577,00000
0039,011,02548,003,0100,0100,0100,0100,00009,00000,00001,00605,00000
0040,011,02093,003,0100,0100,0100,0100,00010,00000,00001,00628,00000
0041,011,02730,003,-040,-040,-040,-040,00009,00000,00001,00658,00000
0042,011,02275,002,0100,0100,0100,0100,00009,00000,00001,00683,00000
0043,011,02548,002,0100,0100,0100,0100,00076,00000,00001,00711,00000
0044,011,02639,002,-010,-010,-010,-010,00075,00000,00001,00740,00000
0045,011,02184,002,0100,0100,0100,0100,00075,00000,00001,00764,00000
0046,011,02821,002,-100,-100,-100,-100,00075,00000,00001,00795,00000
0047,011,02184,002,0100,0100,0100,0100,00121,00000,00001,00819,00000
0048,011,02366,001,0100,0100,0100,0100,00121,00000,00001,00845,00000
0049,011,02639,003,-010,-010,-010,-010,00128,00000,00001,00874,00000
0050,011,02093,001,0100,0100,0100,0100,00125,00000,00001,00897,00000
0051,011,02821,002,-100,-100,-100,-100,00098,00000,00001,00928,00000
0052,011,02366,002,0100,0100,0100,0100,00096,00000,00001,00954,00000
0053,011,02002,001,0100,0100,0100,0100,00095,00000,00001,00976,00000
0054,011,02548,001,0100,0100,0100,0100,00095,00000,00001,01004,00000
0055,011,01911,001,0100,0100,0100,0100,00080,00000,00001,01025,00000
0056,011,02457,001,0100,0100,0100,0100,00080,00000,00001,01052,00000
0057,011,02639,001,-010,-010,-010,-010,00080,00000,00001,01081,00000
0058,011,02184,001,0100,0100,0100,0100,00079,00000,00001,01105,00000
0059,011,02639,002,-010,-010,-010,-010,00079,00000,00001,01134,00000
0060,011,02093,002,0100,0100,0100,0100,00079,00000,00001,01157,00000
0061,011,02366,003,0100,0100,0100,0100,00079,00000,00001,01183,00000
0062,011,02548,002,0100,0100,0100,0100,00079,00000,00001,01211,00000
0063,011,02184,002,0100,0100,0100,0100,00068,00000,00001,01235,00000
0064,011,02821,002,-100,-100,-100,-100,00068,00000,00001,01266,00000
0065,011,02275,002,0100,0100,0100,0100,00079,00000,00001,01291,00000
0066,011,02548,002,0100,0100,0100,0100,00072,00000,00001,01319,00000
0067,011,02639,002,-010,-010,-010,-010,00116,00000,00001,01348,00000
0068,011,02093,002,0100,0100,0100,0100,00115,00000,00001,01371,00000
0069,011,02730,002,-040,-040,-040,-040,00116,00000,00001,01401,00000
0070,011,02366,002,0100,0100,0100,0100,00116,00000,00001,01427,00000
0071,011,02184,002,0100,0100,0100,0100,00083,00000,00001,01451,00000
0072,011,02639,002,-010,-010,-010,-010,00083,00000,00001,01480,00000
0073,011,02002,002,0100,0100,0100,0100,00083,00000,00001,01502,00000
0074,011,02730,002,-040,-040,-040,-040,00083,00000,00001,01532,00000
0075,011,02366,002,0100,0100,0100,0100,00080,00000,00001,01558,00000
0076,011,02002,001,0100,0100,0100,0100,00079,00000,00001,01580,00000
0077,011,02548,-01,0100,0100,0100,0100,00079,00000,00001,01608,00000
0078,011,02093,-04,0100,0100,0100,0100,00079,00000,00001,01631,00000
0079,011,02548,-07,0100,0100,0100,0100,00092,00000,00001,01659,00000
0080,011,02639,-09,-010,-010,-010,-010,00091,00000,00001,01688,00000
0081,011,02002,-13,0100,0100,0100,0100,00096,00000,00001,01710,00000
0082,011,02730,-14,-040,-040,-040,-040,00090,00000,00001,01740,00000
0083,011,02275,-17,0100,0100,0100,0100,00071,00000,00001,01765,00000
0084,071,02275,-20,0100,0100,0100,0100,00070,00000,00001,01790,00000
0085,011,02548,-22,0100,0100,0100,0100,00071,00000,00001,01818,00000
0086,011,02093,-25,0100,0100,0100,0100,00071,00000,00001,01841,00000
0087,011,02730,-29,-040,-040,-040,-040,00108,00000,00001,01871,00000
0088,011,02457,-32,0100,0100,0100,0100,00108,00000,00001,01898,00000
0089,011,02093,-34,0100,0100,0100,0100,00108,00000,00001,01921,00000
0090,011,02548,-36,0100,0100,0100,0100,00108,00000,00001,01949,00000
0091,011,02002,-37,0100,0100,0100,0100,00059,00000,00001,01971,00000
0092,011,02730,-38,-040,-040,-040,-040,00059,00000,00001,02001,00000
0093,011,02548,-40,0100,0100,0100,0100,00059,00000,00001,02029,00000
0094,011,02184,-35,0100,0100,0100,0100,00059,00000,00001,02053,00000
0095,011,02639,-30,-010,-010,-010,-010,00146,00000,00001,02082,00000
0096,011,01911,-23,0100,0100,0100,0100,00151,00000,00001,02103,00000
0097,011,02548,-18,0100,0100,0100,0100,00150,00000,00001,02131,00000
0098,011,02548,-12,0100,0100,0100,0100,00145,00000,00001,02159,00000
0099,011,02002,-06,0100,0100,0100,0100,00120,00000,00001,02181,00000
0100,011,02821,000,-100,-100,-100,-100,00121,00000,00001,02212,00000
0101,011,02457,005,0100,0100,0100,0100,00120,00000,00001,02239,00000
0102,011,02366,010,0100,0100,0100,0100,00105,00000,00001,02265,00000
0103,011,02730,014,-040,-040,-040,-040,00104,00000,00001,02295,00000
0104,011,02184,016,0100,0100,0100,0100,00104,00000,00001,02319,00000
0105,011,02639,018,-010,-010,-010,-010,00104,00000,00001,02348,00000
0106,011,02457,019,0100,0100,0100,0100,00096,00000,00001,02375,00000
0107,011,02184,022,0100,0100,0100,0100,00096,00000,00001,02399,00000
0108,011,02730,025,-040,-040,-040,-040,00095,00000,00001,02429,00000
0109,011,02002,029,0100,0100,0100,0100,00096,00000,00001,02451,00000
0110,011,02730,029,-040,-040,-040,-040,00079,00000,00001,02481,00000
0111,011,02275,031,0100,0100,0100,0100,00084,00000,00001,02506,00000
0112,011,02093,028,0100,0100,0100,0100,00084,00000,00001,02529,00000
0113,011,02639,025,-010,-010,-010,-010,00079,00000,00001,02558,00000
0114,011,01911,023,0100,0100,0100,0100,00129,00000,00001,02579,00000
0115,011,02548,020,0100,0100,0100,0100,00128,00000,00001,02607,00000
0116,011,02457,021,0100,0100,0100,0100,00128,00000,00001,02634,00000
0117,011,02002,022,0100,0100,0100,0100,00129,00000,00001,02656,00000
0118,011,02639,022,-010,-010,-010,-010,00010,00000,00001,02685,00000
0119,011,02366,020,0100,0100,0100,0100,00009,00000,00001,02711,00000
0120,011,02184,019,0100,0100,0100,0100,00009,00000,00001,02735,00000
0121,011,02639,018,-010,-010,-010,-010,00009,00000,00001,02764,00000
0122,011,02093,016,0100,0100,0100,0100,00010,00000,00001,02787,00000
0123,011,02548,016,0100,0100,0100,0100,00009,00000,00001,02815,00000
0124,011,02548,015,0100,0100,0100,0100,00010,00000,00001,02843,00000
0125,011,02093,013,0100,0100,0100,0100,00009,00000,00001,02866,00000
0126,011,02821,013,-100,-100,-100,-100,00009,00000,00001,02897,00000
0127,011,02184,013,0100,0100,0100,0100,00014,00000,00001,02921,00000
0128,011,02639,016,-010,-010,-010,-010,00014,00000,00001,02950,00000
0129,011,02548,012,0100,0100,0100,0100,00009,00000,00001,02978,00000
0130,011,02093,012,0100,0100,0100,0100,00010,00000,00001,03001,00000
0131,011,02639,011,-010,-010,-010,-010,00010,00000,00001,03030,00000
0132,011,02275,010,0100,0100,0100,0100,00010,00000,00001,03055,00000
0133,011,02366,009,0100,0100,0100,0100,00010,00000,00001,03081,00000
0134,011,02275,008,0100,0100,0100,0100,00097,00000,00001,03106,00000
0135,011,02002,008,0100,0100,0100,0100,00097,00000,00001,03128,00000
0136,011,02730,007,-040,-040,-040,-040,00096,00000,00001,03158,00000
0137,011,02639,009,-010,-010,-010,-010,00096,00000,00001,03187,00000
0138,011,02184,009,0100,0100,0100,0100,00092,00000,00001,03211,00000
0139,011,02639,012,-010,-010,-010,-010,00091,00000,00001,03240,00000
0140,011,02002,014,0100,0100,0100,0100,00091,00000,00001,03262,00000
0141,011,02548,019,0100,0100,0100,0100,00092,00000,00001,03290,00000
0142,011,02457,021,0100,0100,0100,0100,00034,00000,00001,03317,00000
0143,011,02002,023,0100,0100,0100,0100,00038,00000,00001,03339,00000
0144,011,02730,025,-040,-040,-040,-040,00032,00000,00001,03369,00000
0145,011,02366,029,0100,0100,0100,0100,00032,00000,00001,03395,00000
0146,011,02366,032,0100,0100,0100,0100,00068,00000,00001,03421,00000
0147,011,02548,035,0100,0100,0100,0100,00067,00000,00001,03449,00000
0148,011,01911,038,0100,0100,0100,0100,00068,00000,00001,03470,00000
0149,011,02730,041,-040,-040,-040,-040,00067,00000,00001,03500,00000
